#{"t_start": 1616607938.451923, "env_id": null}
r,l,t
-129,62,0.057221
-130,42,0.087421
-31,68,0.13721
-75,74,0.186583
-225,38,0.212007
-230,72,0.260185
-440,68,0.302352
-119,50,0.333216
-58,38,0.357375
-139,58,0.397895
-304,118,0.468099
-142,44,0.494913
-128,54,0.535389
-83,52,0.581741
-86,72,0.627968
-137,60,0.664808
-44,48,0.896088
-288,52,0.928026
-138,50,0.959439
-27,52,0.991324
57,60,1.03258
-79,54,1.066537
-41,42,1.092128
-148,92,1.144434
-124,50,1.175536
-167,86,1.230101
-15,52,1.262087
-432,58,1.303608
-163,64,1.343068
-87,52,1.375671
-137,42,1.407347
-419,72,1.452788
-47,44,1.478714
-34,52,1.507451
-161,58,2.799901
-138,58,2.840303
-144,84,2.894123
-241,82,2.945163
-25,46,2.973772
-36,32,2.993735
-157,40,3.018904
-27,50,3.049819
-73,80,3.103635
-136,48,3.132864
-33,64,3.176956
-98,90,3.238321
-33,48,3.269634
-47,72,3.312969
-32,36,3.335598
-11,62,3.372677
-12,62,3.42009
-444,92,3.493758
-244,72,3.540164
-134,60,3.591895
-139,56,3.638709
-116,46,3.675118
-428,58,3.7154
-33,56,3.754137
-26,42,3.787573
-254,74,3.838671
-135,74,3.885888
-35,108,3.960561
9,56,4.001528
-22,48,4.035396
-221,52,4.071185
-352,148,4.178401
-124,54,5.479066
-20,70,5.522787
6,102,5.586139
-128,90,5.64193
-155,58,5.677712
15,86,5.730467
-36,70,5.773599
-155,66,5.813834
-131,56,5.847785
11,34,5.868827
-143,76,5.910648
59,60,5.944836
-38,36,5.965212
-27,38,5.987628
-311,50,6.018697
-91,74,6.077973
-89,46,6.107191
-267,86,6.16364
-95,88,6.217512
4,40,6.246437
-164,62,6.293174
-134,62,6.345632
-91,62,6.386708
-34,60,6.423397
31,76,6.483356
-30,68,6.531656
-89,62,6.58108
-127,56,6.619771
-45,42,6.645808
-259,72,6.691863
-85,50,6.72296
24,78,6.785091
